Product_itemcode	product_Name	Material_itemcode	Material_name
PFTS0034	50-09 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFT0153	48 Driver korpus Dusel YTM	C0041	Oq rang
PFT0153	48 Driver korpus Dusel YTM	C0259	PC drobilka ko'cha otxod
PFT0153	48 Driver korpus Dusel YTM	C0258	PC drobilka ko'cha
PFTS0073	40-01 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0051	50-39 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0090	40-29 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0239	50-10 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0106	40-45 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0109	40-48 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0110	40-49 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0190	50-60 RED Rom	C0058	palistrol otxod drobilka
PFTS0190	50-60 RED Rom	C0064	palistrol
PFTS0056	50-47 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0216	40-17 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0044	50-29 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0115	40-01 RED Rom	C0058	palistrol otxod drobilka
PFTS0115	40-01 RED Rom	C0064	palistrol
PFTS0076	40-04 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0126	40-05 COFFEE Rom	C0058	palistrol otxod drobilka
PFTS0126	40-05 COFFEE Rom	C0064	palistrol
PFTS0092	40-31 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0124	40-04 COFFEE Rom	C0058	palistrol otxod drobilka
PFTS0124	40-04 COFFEE Rom	C0064	palistrol
PFTS0011	5w-korpus	C0149	PBT
PFTS0011	5w-korpus	C0196	PBT drobilka
PFTS0178	50-01 BLUE Rom	C0064	palistrol
PFTS0178	50-01 BLUE Rom	C0058	palistrol otxod drobilka
PFTS0032	50-06 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0217	40-10 Plafon Korpus	PZ0104	PZ-Pet list 365-370
PFTS0186	50-05 RED Rom	C0058	palistrol otxod drobilka
PFTS0186	50-05 RED Rom	C0064	palistrol
PFTS0184	50-05 BLUE Rom	C0058	palistrol otxod drobilka
PFTS0184	50-05 BLUE Rom	C0064	palistrol
PFTS0014	15w-korpus	C0196	PBT drobilka
PFTS0014	15w-korpus	C0149	PBT
PFT0160	Tosh keramika 24 (2 talik roz)	C0170	Gulbota
PFT0160	Tosh keramika 24 (2 talik roz)	C0173	Shira
PFT0049	PARRAK-100 Silver	C0186	Rastvaritel
PFT0049	PARRAK-100 Silver	C0176	Silver  rang
PFT0049	PARRAK-100 Silver	PFT0048	PARRAK-100
PFT0160	Tosh keramika 24 (2 talik roz)	C0169	Shpat (drabirka)
PFT0160	Tosh keramika 24 (2 talik roz)	C0171	Kvarts
PFT0160	Tosh keramika 24 (2 talik roz)	C0174	Tosh (shar)
PFT0160	Tosh keramika 24 (2 talik roz)	C0172	Kaliy
PFTS0086	40-25 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0086	40-25 Plafon korpus	C0213	Pet list otxod
PFT0108	Ramka 27	C0056	songru abs otxod
PFT0108	Ramka 27	C0068	songru abs
PFT0197	PLASMASSA TEGI-100 black	C0266	Qora abs ( Nar Patron)
PFT0032	Vnut 2 Ramka	C0017	rich abs
PFT0032	Vnut 2 Ramka	C0014	rich abs otxod
PFT0181	Korpus 65	C0066	qora siryo
PFTS0033	50-07 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFTS0033	50-07 Plafon korpus	C0213	Pet list otxod
PFT0138	Akril Panel 10  turburchak	C0057	PP
PFT0138	Akril Panel 10  turburchak	C0040	W rang
PFT0138	Akril Panel 10  turburchak	C0060	PP otxod
PFTS0113	40-01 WHITE Rom	C0061	palistrol otxod
PFTS0113	40-01 WHITE Rom	C0064	palistrol
PFTS0229	50-09 BLUE Rom	C0061	palistrol otxod
PFTS0229	50-09 BLUE Rom	PZ0025	PZ-BLUE rang
PFTS0229	50-09 BLUE Rom	C0261	palistrol qozon
PFTS0125	40-04 WHITE Rom	C0064	palistrol
PFTS0125	40-04 WHITE Rom	C0061	palistrol otxod
PFT0058	Veral 19 korpus	C0062	yangi qora siryo otxod
PFT0058	Veral 19 korpus	C0063	yangi qora siryo
PFT0129	Du 58 korpus	C0017	rich abs
PFT0129	Du 58 korpus	C0014	rich abs otxod
PFT0163	Knopka 73	C0014	rich abs otxod
PFT0163	Knopka 73	C0017	rich abs
PFT0184	Vnut 12 Ramka Gold	C0175	Gold rang
PFT0184	Vnut 12 Ramka Gold	C0186	Rastvaritel
PFT0184	Vnut 12 Ramka Gold	PFT0133	Vnut 12 Ramka
PFT0184	Vnut 12 Ramka Gold	C0179	Plastafleks
PFT0076	Ramka 46	C0056	songru abs otxod
